Year,Number of Cases,Rolling_3yr_Avg,Lag_1,Lag_2
2017,31498426.0,29576505.333333332,29542186.0,27688904.0
2018,33437831.003,31492871.333333332,31498426.0,29542186.0
2019,35569026.018,33503385.0,33437831.003,31498426.0
2020,37668145.057000004,35565706.666666664,35569026.018,33437831.003
2021,39768516.11100001,37686706.666666664,37668145.057000004,35569026.018
2022,41917436.14700001,39819163.666666664,39768516.11100001,37668145.057000004
2023,44041608.30300002,41973888.333333336,41917436.14700001,39768516.11100001
2024,46303335.33300002,44193562.0,44041608.30300002,41917436.14700001
2025,48632441.51300003,46513590.0,46303335.33300002,44041608.30300002
